GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension,0,78,0,2,0,21,0,7,0,6
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.3.new InjectionPoint() {...},10,43,0,2,3,8,3,6,3,5
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,CDIExtendedInstance,0,82,0,0,0,14,0,7,0,7
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.new Bean() {...},2,52,0,0,1,12,1,11,1,11
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.DependentLiteral,0,5,0,0,0,1,0,1,0,1
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,InstanceType,3,53,4,6,1,13,4,7,0,6
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceProducer,5,22,0,2,1,4,1,2,1,1
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.new AnnotatedType() {...},2,70,2,4,0,14,2,11,0,10
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.new BeanAttributes() {...},0,37,0,0,0,7,0,7,0,7
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,ExtendedInstanceExtension.new Producer() {...},0,75,0,0,0,13,0,6,0,6
javax-cdi-instance-handle,com.github.jonasrutishauser.javax.enterprise.inject.impl,CDIExtendedInstance.HandleImpl,0,61,2,4,0,12,2,6,0,5
